Kategorie,Initiative,Betreiber,Steuerung,Nutzer,Aufwand,Beschreibung,color
Grundlegende Geodienste,geo.admin.ch,KOGIS,GKG,5000000,,,#bebada
Grundlegende Geodienste,geodienste.ch,KGK,KGK,,,,#bebada
Grundlegende Geodienste,raumdatenpool.ch,Kt LU,Kt LU,,,,#bebada
Grundlegende Geodienste,geogr.ch,swisscom,Kt GR,,,,#bebada
Grundlegende Geodienste,viageo.ch,asit,asit,,,,#bebada
Grundlegende Geodienste,plans-reseaux.ch,asit,asit,,,,#bebada
Grundlegende Geodienste,giszh.ch,OLIG AG,OLIG AG,,,,#bebada
Grundlegende Geodienste,swisspost.opendatasoft.com,opendatasoft,POST,,,,#bebada
Grundlegende Geodienste,data.sbb.ch,opendatasoft,SBB,,,,#bebada
Grundlegende Geodienste,cadastre.ch,swisstopo,swisstopo,,,,#bebada
Grundlegende Geodienste,beta.swissgeol.ch,swisstopo,swisstopo,,,,#bebada
Metainformationen,geocat.ch,KOGIS,GKG,,,,#80b1d3
Metainformationen,opendata.swiss,BFS,BFS,,,,#80b1d3
Metainformationen,opentransportdata.ch,SBB,BAV,,,,#80b1d3
Geobasisdaten,geobasisdaten.ch,KOGIS,KOGIS,,,,#ffffb3
Geobasisdaten,geobasisdaten.ch,KGK,KGK,,,,#ffffb3
Rechtliche Grundlagen,geolex.ch,Bastian Graeff,Bastian Graeff,,,,#fdb462
Rechtliche Grundlagen,GeoIG/GeoIV SR510.62/0,BK,KOGIS,,,https://www.swisstopo.admin.ch/content/swisstopo-internet/de/swisstopo/legal-bases/_jcr_content/contentPar/tabs/items/dokumente/tabPar/downloadlist/downloadItems/123_1465414384899.download/geoinfoflyerde.pdf,#fdb462
Rechtliche Grundlagen,GeoIVswisstopo SR510.620.1,BK,swisstopo,,,,#fdb462
Rechtliche Grundlagen,GeoNV SR 510.625,BK,swisstopo,,,,#fdb462
Rechtliche Grundlagen,"Landesvermessungsverordnung, LVV SR 510.626",BK,swisstopo,,,,#fdb462
Rechtliche Grundlagen,"Finanzierung der AV (FVAV, SR 211.432.27)",BK,AV,,,,#fdb462
Rechtliche Grundlagen,"Verordnung über die AV (VAV, SR 211.432.2) ",BK,AV,,,,#fdb462
Rechtliche Grundlagen,"Technische Verordnung AV (TVAV, SR 211.432.21)",BK,AV,,,,#fdb462
Rechtliche Grundlagen,"Geometerverordnung (GeomV, SR 211.432.261)",BK,AV,,,,#fdb462
Rechtliche Grundlagen,"Grundbuchverordnung (GBV, SR 211.432.1)",BK,AV,,,,#fdb462
Rechtliche Grundlagen,"Technische Verordnung Grundbuch (TGBV, SR 211.432.11)",BK,AV,,,,#fdb462
Rechtliche Grundlagen,"Landesgeologieverordnung (LGeolV, SR 510.624)",BK,swisstopo,,,,#fdb462
Rechtliche Grundlagen,"Regierungs- und Verwaltungsorganisationsgesetz (RVOG, SR 172.010)",BK,swisstopo,,,,#fdb462
Rechtliche Grundlagen,"Regierungs- und Verwaltungsorganisationsverordnung (RVOV, SR 172.010.1)",BK,swisstopo,,,,#fdb462
Rechtliche Grundlagen,"Organisationsverordnung (OV-VBS, SR 172.214.1)",BK,VBS,,,,#fdb462
Rechtliche Grundlagen,"Verordnung ÖREB-Kataster (ÖREBKV, SR 510.622.4) ",BK,swisstopo,,,,#fdb462
Rechtliche Grundlagen,Kantonale Geoinformationsgesetzgebung u.ä.,Kantone,Kantone,,,,#fdb462
Rechtliche Grundlagen,Kommunale Geoinformationsgesetzgebung u.ä.,"Städte, Gemeinden","Städte, Gemeinden",,,,#fdb462
Richtlinien und Standards,www.interlis.ch,KOGIS,KOGIS,,,,#b3de69
Richtlinien und Standards,models.interlis.ch,KOGIS,KOGIS,,,,#b3de69
Richtlinien und Standards,models.geo.admin.ch,KOGIS,GKG,,,,#b3de69
Richtlinien und Standards,models.geo.kgk-cgc.ch,KGK,KGK,,,,#b3de69
Richtlinien und Standards,geostandards.ch,KOGIS,KGK,,,,#b3de69
Richtlinien und Standards,geostandards.ch,KOGIS,GKG,,,,#b3de69
Technische Infrastruktur,li2c,?,?,,,,#fccde5
Technische Infrastruktur,umleditor,?,?,,,,#fccde5
Technische Infrastruktur,iG/Check,?,?,,,,#fccde5
Technische Infrastruktur,ilivalidator,Eisenhut Informatik AG,KOGIS,,,,#fccde5
